ship_imo_number,co2_real,oof_xgboost,oof_red
9670767,0.0,0.0,160.0843748879579
9670779,2035.711,2234.09228515625,2341.894292289173
9670810,0.0,0.0,244.6366716202283
9670834,4671.7123,6353.05810546875,6578.664277487125
9670846,2591.6062,2333.822265625,2379.013813363157
9670901,856.4409,1308.586181640625,1260.6053338394977
9670949,9501.3859,11946.5087890625,13165.339682568389
9671058,7097.0481,7367.5732421875,7419.690136723682
9671060,5894.0899,6327.904296875,6418.968195763123
9671072,4810.168,4414.60791015625,4818.862584531634
9671084,7604.1663,7303.58935546875,7644.637878089399
9671096,3779.8665,3755.985107421875,4092.763962207133
9671216,4393.1311,5434.890625,5170.814298649934
9671228,2396.8728,3282.983154296875,3126.089062811776
9671436,2413.3348,3428.12451171875,4426.759660151931
9671448,4050.7504,4321.3505859375,6479.745604074547
9671450,5247.3893,5146.72216796875,5300.622280643751
9671462,7971.3099,7252.85888671875,10164.697057821897
9671474,4316.6377,4525.10009765625,6793.087585928139
9671486,8254.8997,7606.43896484375,10273.031548168214
9671814,5645.2438,5259.84814453125,5450.950317622726
9671826,12280.0184,13125.505859375,11362.8079488157
9672088,30511.8687,29325.33984375,30247.730600161558
9672090,35327.1735,29889.98046875,31161.900999476933
9672208,6020.7519,6530.724609375,6368.019980112807
9672210,3370.558,3946.60400390625,4012.828895136001
9672222,1023.2738,2097.0166015625,2324.275620689087
9672234,1635.7034,1432.4129638671875,1676.387976243037
9672404,5452.2708,5943.29345703125,6282.044320304716
9672416,8982.7929,17492.51953125,17124.615436254262
9673018,4115.0564,3893.23486328125,4085.7385612108346
9673173,3054.8067,4131.4638671875,3703.974513509912
9673197,1494.2416,1081.6678466796875,1736.4460230897457
9673381,5052.9022,8458.5283203125,7911.410055585792
9673513,2690.5075,2039.6068115234375,2223.926202660731
9673525,5840.0063,3669.538818359375,3865.853375324802
9673604,1292.4022,2508.798828125,2455.3709614634963
9673630,21265.8717,46654.66796875,42938.85405406868
9673678,7958.523,8952.2626953125,9731.08361651481
9673757,3723.5162,4937.77001953125,5058.808326268181
9673824,1786.1854,2082.286376953125,2174.3893082150607
9673836,1488.342,1654.661865234375,1743.6034673853865
9673850,18397.3222,9499.474609375,11243.305785382712
9674177,11880.8281,11300.6083984375,11494.641710839498
9674189,2940.826,3041.469970703125,3021.1143735890337
9674373,7161.2043,6378.18212890625,7004.938283642146
9674385,5763.749,5733.40625,5665.617564085024
9674397,1121.155,931.1515502929688,1237.5835561468866
9674543,33959.7833,26885.90234375,24539.87685891499
9674713,11333.449,10003.556640625,10516.567218366821
9674725,5014.8382,4652.728515625,4771.306674267524
9674763,3464.72,4048.3486328125,3751.418551699712
9674787,3185.1795,2750.05224609375,2771.9936696764717
9674799,4602.9691,4484.7177734375,4448.854085857278
9674816,1186.3728,1419.3267822265625,1684.5338371570979
9674828,5770.0392,10113.361328125,7415.024630443828
9674921,10972.6554,7824.8974609375,8308.459905793337
9675066,10431.0735,8869.9228515625,9434.1036973687
9675078,5850.6615,3739.9130859375,4281.438392378999
9675080,13277.3856,11547.6025390625,10310.65466710872
9675391,14869.1207,11829.7109375,16137.009863016065
9675468,8429.7497,9437.333984375,9672.961910690605
9675509,5522.8032,8600.111328125,8980.812866812019
9675559,4312.8771,6423.74462890625,5731.637638289755
9675561,6434.1435,12350.921875,9072.943023944128
9675585,3430.5308,2933.217529296875,2505.5806689173232
9675602,1983.2974,2980.297119140625,2942.3089048019037
9675640,1886.2822,2371.58837890625,2021.828087311089
9675743,5805.9364,5525.78564453125,5327.4723810026035
9675755,709.3614,799.0957641601562,746.960618948031
9676084,0.0,64.58767700195312,417.10290935574994
9676113,12879.2555,12170.4931640625,12507.118985712956
9676137,31934.8666,21191.640625,19696.640127825343
9676515,3639.597,2443.42138671875,2580.304099087378
9676709,11205.9322,15004.759765625,20318.52506111478
9676711,3771.5503,8214.923828125,8152.220111297274
9676876,2552.2343,3462.2744140625,3475.21540090658
9677026,17832.3502,21372.171875,27404.057286026276
9677583,0.0,0.0,56.74613164740367
9678408,13506.1469,22182.8984375,10555.026772346182
9678800,15304.6024,7020.05419921875,7450.833618966256
9678812,7345.6728,3497.320556640625,3653.0896003538874
9679062,0.0,0.0,189.12065787613028
9679074,0.0,0.0,306.8527216137609
9679139,3484.4958,2197.10791015625,2445.9104167818223
9679385,4711.5914,4513.58349609375,4301.510314081173
9679555,4549.158,6572.181640625,6023.6597822210315
9679799,2436.0851,3064.73876953125,3047.3992979152817
9679880,2249.33,3236.743896484375,3242.5209088884267
9679919,10228.9478,13773.0654296875,13539.780672623225
9680073,18394.6005,13322.224609375,11954.356006567934
9680102,8346.5942,6386.390625,6248.251410383301
