grupo,buques,capacidad_mediana,frontera,co2_t,ahorro_t,ahorro_pct
Bulk carrier|Q2,734,42004.98867506576,-0.009487378275298598,2816117.87013,112273.98870981083,3.9868355618448574
Bulk carrier|Q0,734,21724.735451986533,-0.038431723541292845,2222953.3358,109317.69127866928,4.917678185958314
Bulk carrier|Q3,733,50228.44636524823,-0.0179737510299389,2823147.51335,107255.79937156478,3.7991567519719514
General cargo ship|Q4,529,28959.215105842006,-0.012681229505935884,2295822.97251,106683.98305904982,4.64687322744285
Chemical tanker|Q0,295,5842.648421911845,-0.023169043819580282,1817186.26365,99843.39530213148,5.494395225153532
Chemical tanker|Q2,294,21332.109883400008,-0.018957601023518462,1878171.55043,97928.44870123103,5.214031097362256
LNG carrier|Q2,78,90799.16048542468,-0.026107154751369696,2114122.5599,96324.68514437196,4.556248865199575
LNG carrier|Q1,78,83884.07161269811,-0.04741419736480484,1964896.60178,90998.7024951389,4.631220920872028
Bulk carrier|Q1,733,30627.3256860099,-0.015126540546833,2420019.77421,88570.76196382983,3.6599189356931263
Chemical tanker|Q1,294,14722.16848699117,-0.008139769518779191,1793526.45798,85190.0576171249,4.749863445732054
Chemical tanker|Q3,294,31709.162085253378,-0.014053681516678487,1718487.34003,83324.97951101708,4.848739794007587
Other ship types|Q4,80,18285.683489175393,-0.03484147197026353,672597.67681,79323.93009438706,11.79366697646133
General cargo ship|Q2,529,4987.490314859596,-0.03270077940254878,1745788.72035,77146.57555093362,4.419009852204056
Ro-ro ship|Q0,47,1108.017406392166,-0.07587853717038605,538127.43247,71520.01107050818,13.290534314935773
General cargo ship|Q0,529,1554.2635658914728,-0.09157630533191596,1061208.58735,69478.45070740867,6.547105963485179
Chemical tanker|Q4,295,37299.947257383974,-0.03146629957642807,1462885.06025,69268.28952234151,4.735046614701492
Passenger ship|Q2,47,1201.0660860877174,-0.005863540114882696,1426774.70972,61766.07711159175,4.329070083090634
Ro-ro ship|Q2,46,4743.183328892674,0.021485140555160195,1300083.81035,61546.033312246946,4.734005055849279
General cargo ship|Q1,529,2765.273311897106,-0.012789511979576644,1355555.46259,60085.31684486149,4.432523677788818
Ro-ro ship|Q4,47,8744.990961273248,0.014398714422987274,1365598.18766,60073.72648290961,4.399077783330104
Ro-ro ship|Q1,47,2938.1595634683426,-0.015887167110821266,705281.94459,58319.964788612066,8.269028469531442
Container/ro-ro cargo ship|resto,60,51913.62327320471,-0.035234634613358,1103485.62514,55924.26464805842,5.067964944351973
Ro-ro ship|Q3,47,5852.205788717277,-0.009383267026751038,1418659.6465099999,55718.843652539115,3.9275695047512835
Other ship types|Q1,80,1784.6587083966308,-0.015208635900440507,371325.35741,55424.65685032728,14.926170740645105
Gas carrier|Q3,73,17828.44540253151,-0.02332794454796575,584870.35794,51730.957370458214,8.844858808140373
Passenger ship|Q1,47,554.5319773750942,0.01585650574397752,736858.92212,41547.01294721306,5.638394501308214
Other ship types|Q3,80,8122.696036776,0.02759358039124526,651037.12121,41345.47776699469,6.350709724531699
Other ship types|Q2,80,5353.975242889963,0.041030126581314594,552327.18808,41260.62135202035,7.470322345610135
Gas carrier|Q4,73,37899.18378834787,0.015433943040131884,680430.95106,39633.25853335751,5.824728941506171
Refrigerated cargo carrier|resto,108,5845.383790820988,-0.015462409296435532,876060.53934,38059.08602667557,4.344344291017633
Vehicle carrier|Q4,102,10045.46152233639,-0.022035075626674186,833329.03506,37426.395183036846,4.491190587202104
Gas carrier|Q0,73,2103.069814716045,-0.053617815370325714,389374.39957,36300.741408154856,9.322837209699214
Other ship types|Q0,81,140.00946574236477,-0.11098961234540285,284027.08958,33391.06719863137,11.75629664339687
Vehicle carrier|Q0,102,3638.2281655058805,0.0055164943419827115,1112292.53267,32945.352992390755,2.961932407593096
Gas carrier|Q2,72,10225.7865794131,-0.0369545585153955,642921.60117,27337.726454417814,4.252108873720861
Vehicle carrier|Q3,101,8225.120273221351,-0.018926438962506238,773314.49901,23626.994761601116,3.055289250602242
Vehicle carrier|Q1,101,6297.698369441796,-0.022382480740138794,868757.22782,22984.790541971513,2.6457092736538117
Passenger ship|Q0,48,132.00390499926462,-0.07555146785134031,272005.96373,22321.44887324578,8.206235101301901
Vehicle carrier|Q2,102,7326.0530732420975,-0.027812456119933927,691983.53754,21773.302469797985,3.1465058471191423
Gas carrier|Q1,73,4983.59065506896,0.0051782014875384995,533295.82006,19096.502214656255,3.5808460326030205
Combination carrier|resto,4,22935.542150774276,0.14130135552024078,22076.897320000004,2745.178177109501,12.434619490767739
Bulk carrier|resto,7,,-0.0997364916842797,7122.6739,433.7416399422282,6.089590033628077
General cargo ship|resto,7,,0.41440614062332315,6994.53384,0.055976578635158855,0.0008002903397942364
LNG carrier|resto,1,,-0.10856700001604191,1021.24292,0.0,0.0
Oil tanker|resto,1,,-0.04343883617083588,12598.89573,0.0,0.0
