_cid,buques,co2_t,ets_eur,fueleu_eur,ahorro_t,factura_eur,nombre,cuota_pct,cuota_acumulada_pct
5261954,32,298367.19549,13477837.446418563,2497980.1701694746,1301.107645237375,15975817.616588037,MOL SHIP MANAGEMENT (SINGAPORE) PTE. LTD.,0.18318421771116378,51.440504325159885
1782767,15,275529.43836000003,13449075.313956512,2507387.390939585,13819.003276047735,15956462.704896096,SIEM Ship Management,0.18296228763896044,51.62346661279884
5375992,11,198666.64231,13309536.170388456,2567883.9976771823,2169.098667488251,15877420.16806564,Holland America Line Limited,0.1820559587346946,51.80552257153354
5300060,18,207691.79287,13500541.85171589,2343557.17137464,18853.34249849812,15844099.02309053,Songa Shipmanagement Ltd,0.18167388702969667,51.98719645856323
5265135,11,359839.96668,15521994.931217879,251773.36433634046,26952.166897842744,15773768.295554219,NYK LNG Shipmanagement Ltd,0.18086745072615382,52.16806390928939
4117526,23,280575.62372,13118136.737279555,2643879.820084694,6589.285871443461,15762016.557364248,DELTA TANKERS LTD,0.1807327012555013,52.34879661054489
1677771,46,275064.39952,13188073.95178127,2453698.6705230065,2180.0503089237127,15641772.622304276,Anglo Eastern Ship Management Pte. Ltd,0.17935394295297774,52.528150553497866
6063177,10,161627.50688,13585950.974411225,1785781.1332994848,5963.473585663495,15371732.10771071,HURTIGRUTEN COASTAL AS,0.17625756556539543,52.70440811906326
1153018,20,266311.79106,12485675.820581311,2481184.6830242267,8964.44709359456,14966860.503605537,KYKLADES MARITIME CORPORATION,0.1716151685468878,52.876023287610145
6071296,30,260919.43774999998,12422674.600200461,2206071.830592849,2506.4930976302494,14628746.43079331,Hoegh Autoliners Management AS,0.1677382363352348,53.04376152394538
5420932,17,332690.55932,14475722.214857507,0.0,10240.044565258855,14475722.214857507,BW Fleet Management AS,0.16598360806143939,53.209745132006816
1527598,38,263511.66592,12014683.076400908,2378571.7843573526,23550.275902677673,14393254.86075826,DYNACOM TANKERS MANAGEMENT LTD,0.16503800902482454,53.37478314103164
1912245,12,539072.84853,12077525.965046955,2249600.3490868974,45444.30243300181,14327126.314133853,BLUE STAR FERRIES SINGLE MEMBER MARITIME S.A.,0.16427975637244135,53.53906289740409
0102752,5,159540.40029,12101204.700987637,2015512.0809135945,4977.1040128273335,14116716.781901231,Polska Zegluga Baltycka S.A.,0.16186712833135855,53.700930025735445
0098122,23,240405.67379,12080265.708168486,2025914.5725752371,23057.272028808646,14106180.280743724,GENEL DENIZCILIK NAKLIYATI A.S,0.16174631318635171,53.862676338921794
5689567,20,254054.82782,11771499.025026578,2258423.0379483732,4639.954125608487,14029922.062974952,Teekay Marine (Singapore) Pte. Ltd.,0.16087191024177155,54.02354824916357
1257528,18,170982.51317,12438354.07874723,1576413.4691761392,17166.913328934603,14014767.54792337,Anthony Veder Rederijzaken B.V.,0.16069814336165686,54.184246392525225
4115119,24,262834.27037,11607010.271113617,2176689.5629416327,10686.759348964897,13783699.83405525,FLEET SHIP MANAGEMENT PTE LTD,0.15804864150709835,54.342295034032325
1135952,13,292310.8398,12263520.297830813,1514101.9748175319,3396.4790001934634,13777622.272648344,"Maersk Line, Limited-USA",0.15797895409837634,54.5002739881307
6188878,15,182749.05471,11488133.387928741,2266902.2849949794,4947.98813969504,13755035.672923721,Eastaway Ship Management PTE. LTD.,0.1577199683800483,54.65799395651075
5408609,31,245587.97025,11387638.182592211,2339318.0081907017,22955.350069770495,13726956.190782912,Odfjell Management AS,0.15739799938333426,54.815391955894086
5514301,53,203952.88263,11785608.898686541,1547281.5122556377,12130.604110072094,13332890.410942178,Hansa Ship Management OU,0.1528795056611781,54.96827146155526
0229068,19,147323.17975,11439184.481323324,1771670.6474250676,8018.6853794840845,13210855.12874839,John T. Essberger GmbH & CO. KG,0.1514802071565045,55.119751668711764
1546779,38,254538.69156,11485485.48117226,1718010.793045339,19879.098914563783,13203496.274217598,STAMCO SHIP MANAGEMENT CO LTD,0.15139582800028067,55.27114749671205
5702577,11,297221.38187,12957375.15027639,100965.1553908032,19806.648975506596,13058340.305667194,NLNG Ship Management Ltd,0.14973141975632306,55.42087891646837
0533687,11,208707.74121,10871995.15689265,2155928.135480809,3644.312368486305,13027923.29237346,Nereus Shipping SA,0.14938264782370303,55.57026156429207
5197706,28,226478.90247,10690734.748689018,2146855.6683144732,8906.804526343833,12837590.417003492,Suntech Ship management Pte Ltd,0.14720022563310653,55.717461789925174
5034289,23,237384.05362,11238373.363140607,1459742.029987932,7462.5132508778315,12698115.393128539,MISC Shipmanagement (S) Pte Ltd,0.1456009570540605,55.86306274697923
5299962,7,239911.39688,10786811.041404817,1885266.5766906072,25857.09158515317,12672077.618095424,P&O Ferries Holdings Ltd,0.14530239897303762,56.00836514595227
6025195,9,204738.17396,10509660.67907902,2148650.662714724,20554.765763694806,12658311.341793744,Navios Containers Management,0.14514455011574343,56.153509696068014
5683789,21,244293.06833,10600725.709904552,1806232.4045468678,6087.3116798907395,12406958.11445142,HMM Ocean Service Co Ltd,0.14226244758898002,56.295772143657
6124829,32,188389.92479,10434120.658783536,1938952.9846650416,2811.2309707404265,12373073.643448578,Thome Croatia d.o.o.,0.14187391659406134,56.437646060251055
0255909,25,229295.93345,10453461.34068379,1773860.6447962741,1467.7599000828964,12227321.985480065,"""K"" Line RoRo Bulk Ship Management Co., Ltd.",0.14020267797042152,56.577848738221476
1708734,37,205378.9967,10247226.502758885,1964805.2311861995,15441.713529958324,12212031.733945085,Bahri Ship Management DMCC,0.14002735468911828,56.71787609291059
5112029,9,239960.76880000002,10141695.863506898,2059702.2222429053,3802.834933461727,12201398.085749803,Marlow Ship Management Deutschland GmbH & Co. KG,0.13990542562277455,56.857781518533365
1814281,9,221553.0673,9735709.431836952,2008444.473783637,3948.6003196066413,11744153.905620588,MMS Bulkship Management (Singapore) Pte. Ltd.,0.13466250664046323,56.992444025173825
6226144,4,198642.61839,9697302.0122748,1944785.3508903796,9209.782472128094,11642087.36316518,TRASMED GLE SL UNIPERSONAL,0.13349217657142415,57.12593620174525
0194742,4,154543.11566,9796440.496964348,1815006.1869536238,13862.1243802815,11611446.683917973,LA MERIDIONALE,0.1331408400080792,57.25907704175333
6381000,10,137899.82749,9835385.369226411,1724402.574118408,19594.056585248363,11559787.943344818,3M Shipping,0.1325485031269914,57.39162554488032
5787052,25,202648.59722999998,9966176.039007025,1579191.2820200264,7539.828490464359,11545367.321027052,Navigator Gas Ship Management (Denmark) ApS,0.13238315131329484,57.52400869619361
5582137,9,157895.02469,9628063.35851182,1856121.0858047144,16713.488895623374,11484184.444316534,Bore Ltd,0.13168160741259974,57.655690303606214
0177302,9,216435.01052,9590006.40655431,1827067.2024847607,7649.247776017877,11417073.60903907,ZIM Integrated Shipping Services,0.1309120915007831,57.786602395106996
1866320,25,196785.1361,9572059.560951704,1844092.4344095762,2765.845523769441,11416151.99536128,LSC,0.13090152396147778,57.91750391906847
0119331,17,131064.75082,10060873.652957719,1346978.435233736,1111.132640172475,11407852.088191455,Rederiet Stenersen AS,0.13080635437213536,58.048310273440606
