pais,iso3,eee,buques,co2_t,ets_eur,fueleu_eur,factura_eur,ahorro_actividad_constante_t,pct_de_2025,pct_de_2030,pct_registro_abierto,cuota_pct,cuota_acumulada_pct
Reino Unido,GBR,False,99,1193409.03872,56087176.90638358,10714471.75802368,66801648.66440726,71519.0702919069,7.1,18.2,0.0,0.766,93.326
Turquía,TUR,False,136,1109494.97255,54179627.41421865,10596787.849459756,64776415.26367841,25555.840430616096,26.5,45.6,0.0,0.743,94.069
Isla de Man,IMN,False,118,833257.90521,42215006.293419756,6556931.842090095,48771938.13550985,70401.68097235847,24.6,42.4,100.0,0.559,94.628
España,ESP,True,45,1527568.4317,39415308.556929216,5169961.450163214,44585270.00709243,101729.31677571828,2.2,2.2,0.0,0.511,95.139
China,CHN,False,85,650894.1213,33458622.60003752,6559676.321540536,40018298.92157806,29018.586000490912,28.2,57.6,0.0,0.459,95.598
Barbados,BRB,False,248,642633.94466,33252734.452652477,5135761.012933839,38388495.46558632,24994.847804883273,16.9,34.3,100.0,0.44,96.038
Luxemburgo,LUX,True,41,375981.97272,25542117.65563579,3837990.02873554,29380107.68437133,43527.045781898036,7.3,14.6,0.0,0.337,96.375
Lituania,LTU,True,17,330673.06097,23633769.24545846,4682691.6760725295,28316460.92153099,12744.825225470246,17.6,17.6,0.0,0.325,96.7
Japón,JPN,False,54,604481.52425,23771425.63777496,3998570.2160993735,27769995.853874333,14271.821678708948,7.4,13.0,0.0,0.318,97.018
Islas Caimán,CYM,False,47,380324.26878,18691651.63755388,3552217.5207374715,22243869.15829135,30039.761121354135,42.6,68.1,100.0,0.255,97.273
Corea del Sur,KOR,False,66,453717.69577,17606362.235427313,3347012.5579404263,20953374.79336774,20015.737444013204,6.1,18.2,0.0,0.24,97.513
Bélgica,BEL,True,47,371721.64682,17124627.64646406,3112841.7182984613,20237469.364762522,39121.241150220965,23.4,42.6,0.0,0.232,97.745
Estados Unidos,USA,False,23,383864.0502,16540856.491158595,2338864.268533823,18879720.75969242,15521.74311846875,8.7,43.5,0.0,0.216,97.961
Estonia,EST,True,6,200510.41116000002,15252460.537466682,1965181.4487797024,17217641.986246385,10871.459242097786,16.7,16.7,0.0,0.197,98.158
Islas Feroe,FRO,False,21,251535.00915,13357113.82152881,2430947.9164706436,15788061.737999452,9450.163738529098,23.8,23.8,100.0,0.181,98.339
Arabia Saudí,SAU,False,39,214713.79568,10785371.66539571,2073701.2942940015,12859072.959689712,15830.235013816475,20.5,43.6,0.0,0.147,98.486
Túnez,TUN,False,6,197416.14901,8909532.964842403,1873776.4059602986,10783309.370802702,42813.19364588401,0.0,0.0,0.0,0.124,98.61
Argelia,DZA,False,16,191849.65125,9020631.029002735,1215035.2564655833,10235666.285468318,23343.046039722565,81.2,81.2,0.0,0.117,98.727
Taiwán,TWN,False,3,184424.99003000002,7909021.169696009,1589380.984079952,9498402.15377596,4307.581800651216,0.0,100.0,0.0,0.109,98.836
Gibraltar,GIB,False,26,119199.77976,7454745.245253231,1152304.0849516944,8607049.330204926,6038.105727155949,38.5,46.2,100.0,0.099,98.935
Irlanda,IRL,True,18,88394.79291,6369295.347607791,1086377.5969723675,7455672.944580158,5866.853387432768,33.3,55.6,0.0,0.085,99.02
Filipinas,PHL,False,28,115145.7988,5855865.250297705,1115851.2060449163,6971716.456342621,7015.43751149007,21.4,46.4,0.0,0.08,99.1
Croacia,HRV,True,12,145025.96609,5824028.526793,990139.3679719234,6814167.894764923,1468.853981219649,33.3,41.7,0.0,0.078,99.178
Letonia,LVA,True,32,107759.86618,5010645.4938564645,734121.1664617911,5744766.660318256,4269.273955746112,9.4,9.4,0.0,0.066,99.244
Wallis y Futuna,WLF,False,10,63671.74167,4153238.2937264047,593055.7480770126,4746294.041803417,5033.880387117828,0.0,0.0,100.0,0.054,99.298
Curazao,CUW,False,7,67490.30208,4094697.147986613,562806.3866908447,4657503.534677458,18314.658446078214,0.0,14.3,100.0,0.053,99.351
Kuwait,KWT,False,5,78088.43344,3697379.593094025,699060.3666521532,4396439.959746178,3052.452560957231,0.0,80.0,0.0,0.05,99.401
India,IND,False,17,96490.09,3516498.9625516525,700994.2232918332,4217493.185843485,3351.072379427353,52.9,76.5,0.0,0.048,99.449
Marruecos,MAR,False,8,69815.8267,3476738.87550852,657336.0967267943,4134074.972235314,4272.45465202378,37.5,62.5,0.0,0.047,99.496
San Marino,SMR,False,34,77217.81,3454279.8392469618,581265.9748587309,4035545.814105693,2477.566165815421,20.6,32.4,0.0,0.046,99.542
San Cristóbal y Nieves,KNA,False,70,97230.93864,3459626.429899257,554662.5308072018,4014288.960706459,5654.306300850708,18.6,27.1,100.0,0.046,99.588
Palaos,PLW,False,62,91441.32323,3045969.9078675993,486725.1377239073,3532695.045591506,4306.161427937046,22.6,33.9,100.0,0.041,99.629
Egipto,EGY,False,13,59214.15655,2799572.225120868,448078.55339372496,3247650.778514593,6932.203222608558,61.5,84.6,0.0,0.037,99.666
Brasil,BRA,False,11,57110.30626,2644020.682696251,531852.690022904,3175873.3727191556,9090.751784769476,63.6,81.8,0.0,0.036,99.702
Seychelles,SYC,False,4,40889.404389999996,2671182.845083422,444333.2615224224,3115516.1066058446,3225.3058213706436,100.0,100.0,100.0,0.036,99.738
Bangladés,BGD,False,18,51557.25091,2425671.2850098754,473348.6562080959,2899019.9412179715,1170.354175527271,11.1,44.4,0.0,0.033,99.771
Sierra Leona,SLE,False,31,71338.53544,2491605.766587309,406086.25399465236,2897692.0205819616,4575.267281351584,19.4,61.3,100.0,0.033,99.804
San Vicente y las Granadinas,VCT,False,23,43994.23423,2114930.5035876865,338619.48831429816,2453549.991901985,294.3877765109838,0.0,17.4,100.0,0.028,99.832
Tailandia,THA,False,17,37619.249299999996,1778563.750469979,342479.219583563,2121042.970053542,876.770070825368,29.4,88.2,0.0,0.024,99.856
Vanuatu,VUT,False,26,40771.40336,1761094.75028597,247672.53394679952,2008767.2842327696,2917.3830046803314,0.0,3.8,100.0,0.023,99.879
Belice,BLZ,False,16,35863.24876,1582459.1056092782,234886.93629722213,1817346.0419065005,3051.5751423872916,18.8,37.5,100.0,0.021,99.9
Israel,ISR,False,1,30187.32762,1506689.2595027385,288204.46925364115,1794893.7287563796,3508.917792072171,100.0,100.0,0.0,0.021,99.921
Indonesia,IDN,False,6,37015.789260000005,1504168.6328628587,261117.49272963783,1765286.1255924965,1727.2271747839832,50.0,66.7,0.0,0.02,99.941
Tuvalu,TUV,False,16,46634.41669,1408419.9363756701,247738.02753248453,1656157.9639081548,3677.763586738065,25.0,31.2,100.0,0.019,99.96
Bulgaria,BGR,True,3,27999.209020000002,1338480.8443856183,254143.0400989006,1592623.8844845188,348.62890825719927,0.0,0.0,0.0,0.018,99.978
Malasia,MYS,False,2,27252.65499,1321355.9181513947,13125.114770786604,1334481.0329221813,0.0,0.0,50.0,0.0,0.015,99.993
