columna,etiqueta_original_portal
co2eq_emissions_per_transport_work_mass_on_laden_voyages_g_co2eq_m_tonnes_n_miles,CO₂eq emissions per transport work (mass) on laden voyages [g CO₂eq / m tonnes · n miles]
co2eq_emissions_per_transport_work_pax_g_co2eq_pax_n_miles,CO₂eq emissions per transport work (pax) [g CO₂eq / pax · n miles]
co2eq_emissions_per_transport_work_pax_on_laden_voyages_g_co2eq_pax_n_miles,CO₂eq emissions per transport work (pax) on laden voyages [g CO₂eq / pax · n miles]
co2eq_emissions_per_transport_work_volume_g_co2eq_m3_n_miles,CO₂eq emissions per transport work (volume) [g CO₂eq / m³ · n miles]
co2eq_emissions_per_transport_work_volume_on_laden_voyages_g_co2eq_m3_n_miles,CO₂eq emissions per transport work (volume) on laden voyages [g CO₂eq / m³ · n miles]
co2eq_emissions_to_be_reported_under_directive_2003_87_ec_m_tonnes,CO₂eq emissions to be reported under Directive 2003/87/EC [m tonnes]
co2eq_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_at_berth_m_tonnes,CO₂eq emissions which occurred within ports under a MS jurisdiction at berth [m tonnes]
co2eq_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_m_tonnes,CO₂eq emissions which occurred within ports under a MS jurisdiction [m tonnes]
company_imo_number,Company IMO Number
company_name,Company Name
distance_through_ice_n_miles,Distance through ice [n miles]
doc_expiry_date,DoC expiry date
doc_issue_date,DoC issue date
fuel_consumption_per_distance_kg_n_mile,Fuel consumption per distance [kg / n mile]
fuel_consumption_per_distance_on_laden_voyages_kg_n_mile,Fuel consumption per distance on laden voyages [kg / n mile]
fuel_consumption_per_time_spent_at_sea_m_tonnes_hour,Fuel consumption per time spent at sea [m tonnes / hour]
fuel_consumption_per_transport_work_dwt_g_dwt_carried_n_miles,Fuel consumption per transport work (dwt) [g / dwt carried · n miles]
fuel_consumption_per_transport_work_dwt_on_laden_voyages_g_dwt_carried_n_miles,Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles]
fuel_consumption_per_transport_work_freight_g_m_tonnes_n_miles,Fuel consumption per transport work (freight) [g / m tonnes · n miles]
fuel_consumption_per_transport_work_freight_on_laden_voyages_g_m_tonnes_n_miles,Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles]
fuel_consumption_per_transport_work_mass_g_m_tonnes_n_miles,Fuel consumption per transport work (mass) [g / m tonnes · n miles]
fuel_consumption_per_transport_work_mass_on_laden_voyages_g_m_tonnes_n_miles,Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles]
